Latitude,Longitude,pCO2_ppm,temperature_degC,salinity_PSU,Chlorophyll_mgPerm3,year,month,day,hour,minute
42.9602945238095,-9.33337380952381,NaN,17.4154285714286,35.0891428571429,7.12525742857143,2018,7,6,19,1
42.9583926190476,-9.33203833333333,NaN,17.4278571428571,35.08,7.133069,2018,7,6,19,2
42.956755952381,-9.33487428571429,NaN,17.4667142857143,35.0581428571429,7.16461442857143,2018,7,6,19,3
42.9548457142857,-9.33891214285714,NaN,17.437,35.0977142857143,7.10716414285714,2018,7,6,19,4
42.9528923809524,-9.34271071428572,NaN,17.514,35.0647142857143,7.14513085714286,2018,7,6,19,5
42.9512430952381,-9.34626142857143,NaN,17.6622857142857,35.0517142857143,7.12793785714286,2018,7,6,19,6
42.949670952381,-9.34977476190476,NaN,17.5892857142857,35.0547142857143,7.38440657142857,2018,7,6,19,7
42.9481107142857,-9.35321809523809,NaN,17.5957142857143,35.0214285714286,7.414359,2018,7,6,19,8
42.9465426190476,-9.35674095238095,NaN,17.681,34.9942857142857,7.462568,2018,7,6,19,9
42.9449847619048,-9.36015452380952,NaN,17.7438571428571,34.982,7.42683814285714,2018,7,6,19,10
42.9434019047619,-9.36359904761905,NaN,17.7522857142857,35.001,7.39356842857143,2018,7,6,19,11
42.941889047619,-9.36704666666667,NaN,17.7688571428571,35.0004285714286,7.42418442857143,2018,7,6,19,12
42.940444047619,-9.37053047619048,NaN,17.7775714285714,34.9925714285714,7.381452,2018,7,6,19,13
42.9389971428571,-9.37433690476191,NaN,17.7682857142857,34.9984285714286,7.42603342857143,2018,7,6,19,14
42.9376266666667,-9.37850714285714,NaN,17.7838571428571,35.0134285714286,7.41814657142857,2018,7,6,19,15
42.9362323809524,-9.38262095238095,NaN,17.8761428571429,35.0084285714286,7.401659,2018,7,6,19,16
42.9348504761905,-9.38662571428571,NaN,17.9895714285714,34.9828571428571,7.442037,2018,7,6,19,17
42.9334747619048,-9.39071238095238,NaN,18.1175714285714,34.991,7.40340657142857,2018,7,6,19,18
42.9320592857143,-9.39472047619048,NaN,18.1652857142857,35.032,7.39926971428571,2018,7,6,19,19
